ID_A,Destino_A,Actividad_A,Precio_A,Destino_B,Actividad_B,Precio_B,Confianza_Score
185,Pereira,Balsaje por el Río la Vieja desde la ciudad de Pereira,$180.000,Pereira,Tour por el Jardín Botánico de Pereira,290.000 COP,2.7265
133,Guatapé,Recorrido Privado de 2 horas en Lancha Rápida por Guatapé para grupos de hasta 7 personas,$466.000,San Andrés,Paseo privado en lancha por Cayo Acuario,1.500.000 COP,2.5944
17,Montenegro,Pasadía Parque del Café desde Manizales,$225.000,Manizales,"Excursión a la hacienda Venecia, la finca de Café con aroma de mujer",412.000 COP,2.4275
80,Puerto Triunfo,Tour de 1 día a Santorini saliendo desde Medellín,$155.000,Puerto Triunfo,Tour por una finca de café de Salgar,250.000 COP,2.1791
12,Riohacha,Experiencia La Guajira Todo un Encanto. 4 días 3 noches.,$1.228.500,Riohacha,"Tour de 3 días por Manaure, Cabo de la Vela y Punta Gallinas",1.690.000 COP,2.1679
33,Ansermanuevo,Descenso por 5 cascadas en el Cañón de la Araña en Ansermanuevo,$150.000,Ibagué,Senderismo por el cañón del Combeima y cascada de Guamal,139.000 COP,2.167
58,Alcalá,Torrentismo por 5 cascadas en el municipio de Alcalá,$100.000,Puerto Triunfo,Senderismo por la cascada El Dorado,25.000 COP,2.0726
76,Puerto Triunfo,Tour de 1 día a la Hacienda Nápoles desde Medellín. Pasaporte Safari.,$269.000,Medellín,"Excursión a la finca La Manuela, la hacienda de Pablo Escobar",265.000 COP,2.0263
172,Manizales,Excursión Cafetera de 4 días y 3 Noches,$1.644.000,Manizales,Excursión a La Virginia y El Guásimo,510.000 COP,2.0094
122,Jardín,"Jardín, Antioquia: Cabalgata a la Reserva Chorros Blancos.",$205.000,Jardín,Paseo a caballo por Jardín,140.000 COP,1.8081
181,Santander,"Pasadía a las Cascadas Humeadoras en Gambita, Santander",$90.000,Santa Marta,Excursión a las cascadas de Marinka + Sierra Minca,350.000 COP,1.8071
65,Gambita,Tour de 3 días y 2 noches para enamorarte de la naturaleza de Gambita,$310.000,Ibagué,Tour de 2 días por Murillo y Líbano,870.000 COP,1.7966
77,Puerto Triunfo,Tour de 2 días a la Hacienda Nápoles + Santorini + Rio Claro,$540.000,San Félix,Excursión a la Hacienda Nápoles,289.000 COP,1.7061
119,Jardín,"Canyoning 5 Cascadas en Jardín, Antioquia",$180.000,Jardín,Senderismo por la cascada Escalera de Cristal y Mirador de Cristo Rey,115.000 COP,1.6684
180,Santander,Pasadía al Manto de la Virgen y Cañón de la Hondura,$119.000,Cali,Senderismo por la cascada Manto de la Virgen,390.000 COP,1.5643
79,Puerto Triunfo,Tour de 1 día a Santorini + actividad de Rafting saliendo desde Medellín,$196.000,Medellín,Rafting en el río Santo Domingo,160.000 COP,1.559
151,Mesetas,"Tubing por el Cañón del Río Cafre desde Mesetas, Meta",$180.000,Palomino,Tubing en el río Don Diego,379.500 COP,1.5304
171,Manizales,Caldas Natural y Cultural. Excursión de 4 noches y 5 días.,$1.759.000,Manizales,Excursión a Marsella,607.000 COP,1.2909
183,Santander,Tour de 3 días y 2 noches para enamorarte de la naturaleza de Gambita,$310.000,Santa Marta,Excursión de 2 días a Cartagena,960.000 COP,1.0604
63,Gambita,"Pasadía a las Cascadas Humeadoras en Gambita, Santander",$90.000,Villavicencio,"Excursión a las cascadas Caracas, Pelton y Santuario",506.100 COP,1.0201
57,Alcalá,Torrentismo en dos cascadas en el municipio de Alcalá,$90.000,Ibagué,Excursión a las cascadas de Chicalá y Reserva Natural Payandé,267.000 COP,0.8508
60,Gambita,"Pasadía a la Cascada Los Aviones en Gámbita, Santander",$90.000,Ibagué,Senderismo por la cascada La Plata,275.515 COP,0.8311
165,Bahía Solano,Experiencia Inmersiva: Convertirse en Investigador científico,$386.000,Bahía Solano,Seguro de viaje Civitatis,"85.371,42 COP",0.664
32,Ansermanuevo,Descenso nivel intermedio por el Cañón de la Araña en Ansermanuevo,$155.000,Ibagué,Senderismo por el cañón del Combeima + Finca La Rivera,251.000 COP,0.6356
39,Amazonas,Plan Parque Mundo Amazónico: Caminata Nocturna,$90.000,Puerto Nariño,Senderismo nocturno por la selva amazónica,70.000 COP,0.511
69,Dosquebradas,Pasaporte al sabor y la aventura en el Parque del Café desde Pereira,$756.000,Pereira,Vuelo privado en parapente sobre el Eje Cafetero,936.894 COP,0.1103
18,Montenegro,Pasadía Parque Acuático Las Bailarinas desde Manizales y Pereira,$190.000,Manizales,Excursión a Pereira + Visita a una finca de plátanos,409.000 COP,0.0329
111,Cartagena,Recorrido en Yate Master de una hora y media por la Bahía de Cartagena,$125.000,Santa Marta,Paseo en velero por la bahía de Taganga,150.000 COP,0.0311
179,Santander,"Pasadía en la Cueva del Chocó y Cascada El Bastón, Santander",$90.000,Santiago de Tolú,Paseo en barco por la ciénaga La Caimanera,190.000 COP,-0.0313
120,Jardín,"Jardín, Antioquía: Canyoning de 2 Cascadas para Principiantes",$140.000,Jardín,Tarjeta eSIM Civitatis Colombia,"17.469,39 COP",-0.4452
72,Leticia,Pasadía Mundo Amazónico: Combo 4 rutas,$100.000,Leticia,Tour de 3 días por la selva amazónica,1.312.500 COP,-0.4635
146,Mesetas,"Circuito de Cascadas Charco Azul desde el municipio de Mesetas, Meta",$230.000,Villavicencio,Excursión al Charco Azul,635.180 COP,-1.1057
73,Leticia,Pasadía Parque Mundo Amazónico + Charla con Nativo Ancestral,$150.000,Leticia,Excursión a Tabatinga + Parque Santander,110.000 COP,-1.2872
61,Gambita,"Pasadía en la Cueva del Chocó y Cascada El Bastón, Santander",$90.000,Medellín,Excursión a la cascada Chorro de las Campanas,160.000 COP,-1.4905
0,Riosucio,"Vive el Temazcal: Un Baño de Vapor para Sanar Cuerpo y Alma con Saberes Ancestrales en Riosucio, Caldas",$290.000,Barú ,Bautismo de buceo en Barú,256.000 COP,-2.1775
71,Leticia,Mundo Amazónico: Combo 4 rutas + Almuerzo,$125.000,Leticia,Excursión a la selva amazónica,240.000 COP,-2.2416
2,Riosucio,City Tour por Riosucio: Un Tesoro Cultural,$50.000,Bogotá,Tour panorámico por Bogotá,119.000 COP,-2.5433
152,Mesetas,Circuito de Cascadas Telares y San Antonio desde Mesetas Meta,$230.000,Santa Marta,Senderismo por las cascadas de Minca,236.500 COP,-3.0334
36,Amazonas,Pasadía Mundo Amazónico: Combo 4 rutas,$100.000,Ibagué,Ruta privada de trekking de 4 días hasta la cascada El Salto,1.350.000 COP,-4.3435
62,Gambita,Pasadía al Manto de la Virgen y Cañón de la Hondura,$119.000,Pereira,Tour por el Santuario de la Virgen del Jordán,280.000 COP,-4.3654
35,Amazonas,Mundo Amazónico: Combo 4 rutas + Almuerzo,$125.000,Leticia,Tour de las tres fronteras del Amazonas,280.000 COP,-7.6351
37,Amazonas,Pasadía Parque Mundo Amazónico + Charla con Nativo Ancestral,$150.000,Puerto Nariño,Senderismo por la selva amazónica + Comunidad de Santa Teresita,75.000 COP,-8.0983
